Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adipocytes	12/210	0.30295610334097794	0.9987800129401172	0	0	1.2112857096950416	1.4464778550393234	AOC3;ACTA2;TAGLN;COL3A1;FGF7;APOL6;HSPB6;METRN;OLFML3;SERPING1;COL6A3;MYL9
Cardiomyocytes	10/174	0.3196685526470268	0.9987800129401172	0	0	1.2182862304813524	1.3894196196597988	RYR2;ACTA1;MYOCD;PDLIM3;MYL7;HSPB6;HMGB2;CKB;ENO3;TRIM54
Principal Cells	8/136	0.3242178009499144	0.9987800129401172	0	0	1.2484820485744457	1.4062149757971059	LAD1;KRT19;CDH1;TACSTD2;B3GNT3;AQP4;ITGB6;FAM83B
Osteocytes	6/98	0.32642327011877603	0.9987800129401172	0	0	1.3024923260182344	1.4582187841577023	ADAMTS15;TENM3;CXCL14;PCDH18;NES;LOXL1
Hematopoietic Stem Cells	10/178	0.3449961204501697	0.9987800129401172	0	0	1.1890274628369866	1.2653893118834691	SPN;HLF;CD93;MRC1;FGL2;C3AR1;SERPING1;THY1;CMKLR1;ABCG2
Cholinergic Neurons	6/102	0.36064853103625105	0.9987800129401172	0	0	1.2479583772391991	1.272732089609877	EPHA8;STMN2;KLHL23;BRCA1;RGS8;SPSB4
Alveolar Macrophages	7/123	0.3727208488301285	0.9987800129401172	0	0	1.2049232504001164	1.1891695224297094	IL1RN;GAL;AQP9;PLEK;MRC1;FGL2;C3AR1
Neuroendocrine Cells	7/123	0.3727208488301285	0.9987800129401172	0	0	1.2049232504001164	1.1891695224297094	RAB3C;DPF1;STMN2;AQP4;CXCL14;ELAVL3;NRGN
Beta Cells	8/145	0.3895440220825156	0.9987800129401172	0	0	1.1659100193465342	1.0991947802786575	RAB3C;NKX6-2;SIX2;RGS16;STMN2;SLC17A6;DLK1;ELAVL3
Myoblasts	7/126	0.39636305920691317	0.9987800129401172	0	0	1.1743608835939439	1.0867825350020384	COL3A1;HSPB6;OLFML3;CDH15;NGF;ENO3;NES
Neuroblasts	8/146	0.3968599229225102	0.9987800129401172	0	0	1.1574001805855256	1.0696367234235857	DRAXIN;STMN2;TACC3;SP8;NES;LRP8;ELAVL3;SPSB4
Glutaminergic Neurons	6/107	0.4036695793196572	0.9987800129401172	0	0	1.1858652672432681	1.075767885858255	ATCAY;NTRK3;STMN2;SLC17A6;RGS8;ELAVL3
Photoreceptor Cells	8/149	0.4188089505314845	0.9987800129401172	0	0	1.1325949058991815	0.98574313556142	RAB3C;STRIP2;ATCAY;NTRK3;STMN2;SLC17A6;RGS8;ELAVL3
Follicular Cells	6/110	0.42940963514552427	0.9987800129401172	0	0	1.1514752370916754	0.9733926311968463	ITIH2;GSTA2;GSTA1;APOB;AGXT;SLC6A4
Delta Cells	7/131	0.43571287888027094	0.9987800129401172	0	0	1.1267098815843202	0.9360387820254321	RAB3C;RBP1;STMN2;SLC17A6;ATP1B1;SYT7;BAIAP3
Immature Neurons	7/136	0.47467275823099886	0.9987800129401172	0	0	1.0827527556994734	0.8067911736715444	RAB3C;NTRK3;STMN2;SLC17A6;RGS8;NES;ELAVL3
Microglia	8/158	0.4841041201212772	0.9987800129401172	0	0	1.0641323477648714	0.7719804209233111	P2RY12;CD93;OLFML3;AQP9;PLEK;FGL2;C3AR1;TMEM119
Natural Killer T Cells	6/118	0.49690599539160596	0.9987800129401172	0	0	1.0687754026795122	0.7474527963542515	TRAC;S1PR1;TRDC;LTB;TIGIT;SNX20
Enteroendocrine Cells	7/139	0.4977195200427927	0.9987800129401172	0	0	1.0579769211098324	0.7381701480729614	RAB3C;GAL;FABP5;STMN2;SLC17A6;TAS1R2;ELAVL3
His Bundle Cells	5/98	0.5049725671128794	0.9987800129401172	0	0	1.0725523486134692	0.7328226510781514	PDLIM3;TENM3;THY1;PCDH18;NES
Retinal Ganglion Cells	8/164	0.5265794126868969	0.9987800129401172	0	0	1.0228792678634284	0.6560268174662465	STMN2;SNCG;SLC17A6;GALNTL6;RGS8;NGF;GALNT9;ELAVL3
Mesothelial Cells	7/144	0.5353719389267005	0.9987800129401172	0	0	1.0190951368998122	0.6367240792630532	DUSP5;COL3A1;CDH1;LRRN4;BDKRB2;LGALS7;KRT6A
Purkinje Fiber Cells	5/102	0.5407209522368326	0.9987800129401172	0	0	1.0281063483450896	0.6321331757515501	RAB3C;ATCAY;NTRK3;STMN2;ELAVL3
Leydig Cells	7/145	0.5427690035091766	0.9987800129401172	0	0	1.0116568825291996	0.6181946456584626	CXCL10;COL3A1;OLFML3;SERPING1;IGF1;CXCL14;DLK1
Acinar Cells	6/124	0.5456748708195759	0.9987800129401172	0	0	1.0141094104409638	0.6142784760665451	UBD;GSTA2;CTRB1;GSTA1;MUC13;OLFM4
Erythroblasts	6/124	0.5456748708195759	0.9987800129401172	0	0	1.0141094104409638	0.6142784760665451	SPTA1;SPN;TFRC;CDH1;LRP8;LMNB1
Oligodendrocyte Progenitor Cells	6/125	0.5536007215274165	0.9987800129401172	0	0	1.005534352834917	0.5945840982136086	TMEM100;LAD1;NKX6-2;STMN2;AQP4;ELAVL3
T Helper Cells	7/148	0.5646580980304262	0.9987800129401172	0	0	0.9899751623425203	0.565805322974248	IL1RL1;IL6;TRAC;LTB;TIGIT;SNX20;IL18R1
Kidney Progenitor Cells	5/105	0.5667212002161083	0.9987800129401172	0	0	0.9971052631578947	0.5662439208049757	ADAMTS15;TENM3;SIX2;LYPD6;NES
Adrenergic Neurons	5/106	0.5752189397379261	0.9987800129401172	0	0	0.9871808233454924	0.5459154829310993	LRRC75B;PALM3;STMN2;SYT7;DLK1
Urothelial Cells	5/106	0.5752189397379261	0.9987800129401172	0	0	0.9871808233454924	0.5459154829310993	TGM1;SPINT1;PSCA;TACSTD2;KRT23
Osteoclast Precursor Cells	5/107	0.5836282169288228	0.9987800129401172	0	0	0.9774509803921568	0.52634866704501	IL1RN;APOL6;PLEK;FGL2;C3AR1
Interneurons	14/305	0.598993178380503	0.9987800129401172	0	0	0.9588249686850648	0.4914026570013588	RAB3C;RAMP3;SLC16A1;HLF;STMN2;AQP4;CXCL14;SYT7;ELAVL3;NRGN;CACNA1I;GAL;SLC17A6;RGS8
Pulmonary Alveolar Type I Cells	6/131	0.5997431313338629	0.9987800129401172	0	0	0.9569652265542676	0.48925213713469756	KRT19;RTKN2;BDKRB2;CLDN18;LAMC2;ITGB6
Gastric Chief Cells	5/109	0.6001729355832294	0.9987800129401172	0	0	0.9585526315789473	0.4893770059827036	LAD1;SPINT1;CDH1;B3GNT3;KRT23
Astrocytes	7/154	0.6069250714082612	0.9987800129401172	0	0	0.9492666264818164	0.4740162295462399	TMEM132C;TMEM235;HSPB6;STMN2;S1PR1;AQP4;MT3
Bergmann Glia	6/132	0.6071810172588813	0.9987800129401172	0	0	0.9493200863063876	0.47364267213709715	METRN;NTRK3;LRRTM2;AQP4;MT3;ELAVL3
T Memory Cells	6/133	0.6145424736079139	0.9987800129401172	0	0	0.9417953419679231	0.45853871052001305	TRAC;ACP5;ITGB7;LTB;TIGIT;SNX20
Motor Neurons	5/111	0.616339905895702	0.9987800129401172	0	0	0.9403674280039722	0.455097091239769	TENM3;EPHA8;CKB;LYPD6;SPSB4
Granulosa Cells	5/112	0.6242775247281708	0.9987800129401172	0	0	0.9315297589768815	0.43889980187068894	ADAMTS15;TENM3;NES;MATN3;BOK
NK Cells	7/157	0.6272244498626026	0.9987800129401172	0	0	0.9301336146272855	0.4338615948276478	ADAMTS14;TRAC;TRDC;LTB;TIGIT;SNX20;IL18R1
GABAergic Neurons	5/113	0.6321159262453205	0.9987800129401172	0	0	0.9228557504873295	0.423297758827299	STMN2;SLC17A6;AQP4;MT3;ELAVL3
Enterocytes	9/203	0.6375864870987186	0.9987800129401172	0	0	0.9244512979228875	0.4160634924408927	AQP8;GSTA2;CTRB1;GSTA1;MUC13;ALPI;CDHR5;APOB;ABCG2
Pancreatic Progenitor Cells	5/114	0.6398537946345709	0.9987800129401172	0	0	0.9143408981168517	0.4082674515117385	RGS16;CKB;ATP1B1;LYPD6;SYT7
Distal Tubule Cells	6/137	0.6431976109242071	0.9987800129401172	0	0	0.9128451805436015	0.4028415681831356	RBM47;TFRC;MACC1;ITGB6;ATP1B1;CXCL14
Macrophages	9/204	0.6433797865514242	0.9987800129401172	0	0	0.919661733615222	0.40558929251218845	CHIT1;DUSP5;CD74;AQP9;MRC1;PLEK;FGL2;C3AR1;SNX20
B Cells	8/182	0.6447749172843794	0.9987800129401172	0	0	0.9161902681183167	0.4020737534248439	SPN;CD74;PLEK;BLNK;ITGB7;LTB;SNX20;RASGRP3
Meningeal Cells	5/115	0.6474899420947988	0.9987800129401172	0	0	0.9059808612440191	0.3937864104909868	TMEM100;COL3A1;THY1;PCDH18;NES
Satellite Cells	6/139	0.6570348395090925	0.9987800129401172	0	0	0.8990231109913879	0.3776060991622533	ADAMTS15;COL3A1;GAL;CDH1;CDH15;NES
T Regulatory Cells	5/117	0.6624529389918812	0.9987800129401172	0	0	0.8897086466165414	0.36638714462342853	TRAC;PLEK;LTB;TIGIT;SNX20
Endothelial Cells (Aorta)	8/185	0.662765233352054	0.9987800129401172	0	0	0.9005184376472835	0.3704142553746257	GASK1B;COL3A1;HSPB6;OLFML3;MMRN2;MYL9;KLK10;CMKLR1
Trigeminal Neurons	6/144	0.6901413658908675	0.9987800129401172	0	0	0.8662207357859532	0.32124560363427906	RAB3C;STMN2;SNCG;SLC17A6;AQP4;ELAVL3
Loop Of Henle Cells	6/147	0.708962063482571	0.9987800129401172	0	0	0.8476559872654306	0.2915540409908	COL3A1;MMRN2;SERPING1;IGF1;MYL9;NRGN
M?ller Cells	6/147	0.708962063482571	0.9987800129401172	0	0	0.8476559872654306	0.2915540409908	IL6;COL3A1;AQP4;THY1;PCDH18;NES
Luteal Cells	5/125	0.7180795865916385	0.9987800129401172	0	0	0.8300438596491229	0.2748896683441761	SFRP4;BCAT1;SYT7;FKBP5;BOK
T Cytotoxic Cells	4/102	0.7237727520479869	0.9987800129401172	0	0	0.8131934161677289	0.2628873901438858	TRAC;TRDC;LTB;TIGIT
Airway Epithelial Cells	4/103	0.7308152927895697	0.9987800129401172	0	0	0.8049368554100416	0.2524237937275987	CDH1;GSTA2;SCGB1A1;GSTA1
Hepatocytes	9/221	0.7335114371370052	0.9987800129401172	0	0	0.8451523794327656	0.26192293940671424	ITIH2;ARG1;CDH1;GSTA2;FGL1;AQP9;GSTA1;FETUB;APOB
Germ Cells	9/222	0.7382992243573081	0.9987800129401172	0	0	0.8411398624303963	0.25520695133309573	SPZ1;GSG1;MOV10L1;NEK2;BRCA1;MKI67;HASPIN;EFCAB11;GTSF1
Neural Stem/Precursor Cells	6/152	0.7385631537184268	0.9987800129401172	0	0	0.8184101505550183	0.2480181031067004	STMN2;PBK;SLC17A6;SP8;RGS8;ELAVL3
Embryonic Stem Cells	7/176	0.7410477547087648	0.9987800129401172	0	0	0.824732229795521	0.2471641746974791	TENM3;GAL;CDH1;THY1;LYPD6;NES;ABCG2
Pyramidal Cells	5/130	0.7493671839391928	0.9987800129401172	0	0	0.7966315789473685	0.2298490690184653	RAB3C;STMN2;SLC17A6;ELAVL3;NRGN
Decidual Cells	4/106	0.7511329801987823	0.9987800129401172	0	0	0.781138533226119	0.22354042318531706	TRAC;TRDC;LTB;TIGIT
Parathyroid Chief Cells	4/106	0.7511329801987823	0.9987800129401172	0	0	0.781138533226119	0.22354042318531706	NPAS4;EPHA8;HSD17B14;SYT7
Enterochromaffin Cells	4/109	0.7702521715049186	0.9987800129401172	0	0	0.7587001151669921	0.1980490464830978	MYOCD;SGCD;THY1;APOB
Epiblast Cells	4/109	0.7702521715049186	0.9987800129401172	0	0	0.7587001151669921	0.1980490464830978	CDH1;EPHA8;SYT6;SPSB4
Nuocytes	4/110	0.7763633957033572	0.9987800129401172	0	0	0.7515028867329325	0.19023136383081649	IL1RL1;ARG1;TRAC;TIGIT
Red Pulp Macrophages	4/110	0.7763633957033572	0.9987800129401172	0	0	0.7515028867329325	0.19023136383081649	AQP9;PLEK;FGL2;C3AR1
T Follicular Helper Cells	4/110	0.7763633957033572	0.9987800129401172	0	0	0.7515028867329325	0.19023136383081649	TRAC;PLEK;LTB;SNX20
Parietal Cells	4/111	0.7823455741822491	0.9987800129401172	0	0	0.7444401859331545	0.1827293391247881	HLF;AQP4;SYT7;BAIAP3
Kupffer Cells	5/137	0.7887268522248859	0.9987800129401172	0	0	0.7541068580542265	0.1789761117616811	CHIT1;AQP9;PLEK;FGL2;C3AR1
Cardiac Stem And Precursor Cells	4/113	0.793927783712877	0.9987800129401172	0	0	0.730703556854687	0.16861918002481402	ADAMTS15;TENM3;NES;ABCG2
Schwann Cells	5/138	0.7939362032729763	0.9987800129401172	0	0	0.748397309062129	0.1726943027034335	TMEM132C;TAGLN;AQP4;THY1;MT3
Mast Cells	9/235	0.7952075260993012	0.9987800129401172	0	0	0.7922084604015043	0.18153627929611202	GASK1B;SLC7A5;IL1RL1;RAMP3;SGCD;MRC1;PLEK;SERPING1;SLC6A4
Peri-islet Schwann Cells	4/114	0.7995304659521948	0.9987800129401172	0	0	0.7240225599847051	0.16198603157235245	TENM3;THY1;PCDH18;NES
Enteric Neurons	6/166	0.8097823754585258	0.9987800129401172	0	0	0.7462460484720759	0.15745025951027622	GAL;TLX2;NMU;STMN2;CYB561;ELAVL3
Plasma Cells	6/166	0.8097823754585258	0.9987800129401172	0	0	0.7462460484720759	0.15745025951027622	CD74;CD93;PLEK;ITGB7;TGM5;RASGRP3
Thymocytes	4/118	0.8207185053138841	0.9987800129401172	0	0	0.6984706772188094	0.13800041137932412	TRAC;PLEK;LTB;SNX20
Transient Cells	4/120	0.830600423699768	0.9987800129401172	0	0	0.6863555603901519	0.12739201054088095	LAD1;KRT19;ATP1B1;SYT7
Tanycytes	4/121	0.8353689988941775	0.9987800129401172	0	0	0.680453323986447	0.1224011258004844	STMN2;THY1;PCDH18;NES
Langerhans Cells	4/123	0.8445697805504536	0.9987800129401172	0	0	0.6689464429304844	0.11300372900261989	CD74;PLEK;FGL2;SNX20
B Cells Naive	5/151	0.8528121211998765	0.9987800129401172	0	0	0.6812905551550108	0.10847236538019117	CD74;PLEK;LTB;SNX20;BEND5
Oligodendrocytes	6/178	0.8579072033889186	0.9987800129401172	0	0	0.6937412698801676	0.1063223290843813	ANLN;NKX6-2;TMEM235;AQP4;MT3;KLK6
Erythroid-like And Erythroid Precursor Cells	5/153	0.8604981457099747	0.9987800129401172	0	0	0.6720128022759602	0.10096576931419476	SPTA1;CCNA2;ARG1;ASNS;PADI4
Glycinergic Neurons	3/100	0.8621846474736686	0.9987800129401172	0	0	0.6155678766351902	0.09127998923099578	STMN2;CKB;ELAVL3
